Text,"Annotator1, before discussion",,,"Annotator1, after discussion",,,"Annotator2, before discussion",,,"Annotator2, after discussion",,
"Well, in the Southwest: Texas In the NW: Oregon And sleeper.. I know this is going to come back and bite me, because I'm not even a fan, but WA State has had to overcome so much adversity over the past 2 years.. I think they're due.",Yes,No,Not Sure,Yes,No,Not Sure,Yes,No,Not Sure,Yes,No,Not Sure
"We don't hear about flat earth rallies on the news either. If you're going to posit this idea, then it is interesting that countries of all political leans have opted to try and mitigate the contagion. Maybe some people don't want their citizens to die?",,1,,,,,,1,,,,
"Beginning in the 9th century, the Jews living in Arab lands came under the influence of Greek philosophy. The writings of Aristotle and Plato, among others, were translated into Arabic and challenged the traditional religious sensibilities of both Jews and Muslims. Aristotle, in particular, posed a threat because of his prestige as the philosopher par excellence and his depiction of a transcendent, unchanging, and uncaring god.",,1,,,,,,1,,,,
"Since Hamas rise to power in the Gaza Strip, Christians living in the sector have become the scapegoats and a target for harm from both Hamas and extremist Salafis. Due to their predicament, most of them fled; out of a community of 4,200 people twelve years ago, there are now several hundred left.",,1,,,,,,1,,,,
"More than eight-out of ten Americans celebrate Christmas and 70% do so primarily as a religious holiday honoring the birthday of Jesus. Among those who celebrate Christmas, 81% believe Jesus Christ is the son of God sent to Earth to die for our sins.",,1,,,,,,1,,,,
Yeah People are borderline comparing trucks honking to literal marauding There have been hard feelings about this stuff building up for quite awhile and if you want a white pill just go read the comments from the people donating to this thing on GiveSendGo,,1,,,,,,1,,,,
"RT is a Russian media outlet which I believe has been shut down on 22 March of this year. Ofcom, the UK govt media regulator , found it guilty of repeated spreading of propaganda and misleading content. It is also shut down in the US., the EU, Apple, and severely restricted elsewhere including India. Google RT.COM. The Telegraph Links is not at all following its editorial line. Are you sure they werent being critical? Apparently the Radio section of the BBC invited some transgender group to give a talk. Known for its impartiality, I am not unhappy that the BBC",,1,,,,,,1,,,,
"You've now posted three very gay, increasingly large pictures strongly related to gay sex. If a woman spread her legs to a man while shaved and full commando, she wouldn't be asking for sex as much as you have been doing all day. Notice the message you sent quoted above. You love smoking dicks with your ass? Just find a gay bar, dude. It's legal now.",,1,,,,,,1,,,,
"He/they point out that in America, men do most of the essential work. Without the work of men the economy and the society may fall apart. They have no solution for men except to adapt. .",,,1,,,,,1,,,,
"And I will share this secret with you, when we Jews orgasm we do not necessarily say Oy Oy Oy. Sometimes we say; Oy my back, Oy my back, Oy my back.",,1,,,,,,1,,,,
